Brand,Title,Current Price,Original Price,Amount Sold
anker,Anker 65W 4 Port PIQ 3.0 & GaN Fast Charger Adapter,7833,,0
anker,Anker Powerport Iii Pd 65W With Usb C To Usb C Cable,7699,7899,0
anker,Anker Premium 5-in 1 USB C Hub,5099,5299,0
anker,(A21472V1) Anker 511 Charger (Nano 3,3999,,0
anker,Anker Magnetic Phone Grip (MagGo),2399,2499,0
anker,Anker Soundcore Life Q10I,8799,8999,0
anker,Anker USB C to HDMI Cable for Home Office 6ft,3299,,0
xiaomi,Xiaomi Mi Braided Usb Type-C Cable,690,999,208
xiaomi,Xiaomi Mi 33W Sonic Charge 2.0 Charger With Cable - Chargers,1699,1899,766
xiaomi,Xiaomi Pad 6 (8/256 GB),43999,,330
xiaomi,Xiaomi Mi Standard Charger (Qualcomm® Quick Charge™ 3.0),949,,226
xiaomi,Xiaomi Earphones Basic (with in-built mic),999,,79
xiaomi,Xiaomi Mi 2-In-1 Usb Cable (Micro Usb To Type C) 100Cm,699,,133
xiaomi,Xiaomi 13 Lite (8/256 GB),57999,,0
xiaomi,Mi 10000 mAh 3i Lithium Polymer Power Bank 18W Fast Charging Dual Input and Output Ports,2799,,32
xiaomi,Mi Selfie Stick Tripod (with Bluetooth remote),3119,3299,0
xiaomi,Xiaomi Smart Camera C200 - CCTV Security Smart Camera,3999,4999,635
redmi,Redmi Watch 3 Active Smart Watch,4999,5699,1
redmi,Redmi Buds 4 Active Earbud,2999,,600
redmi,Redmi Note 11,23999,,378
redmi,Redmi Note 13 Pro (12/512),35999,39999,54
redmi,Redmi 13C (6/128GB),15999,,171
redmi,Redmi Note 13 Pro (8/256GB),32999,34999,93
redmi,Redmi 13C (8/256GB),18999,,79
redmi,Redmi Note 13 (8/256GB),26999,27999,41
redmi,Redmi Note 13 Pro+ 5G (8/256),45999,47999,47
redmi,Redmi Note 13 Pro+ 5G (12/512),50999,52999,75
redmi,Redmi 13C (4/128GB),13999,,0
redmi,Redmi 9 Activ (4/64 GB),15999,,107
redmi,Redmi 13 (6/128),18999,,0
redmi,Redmi A3 (4/128 GB),12999,,0
redmi,Redmi 33W Fast Charging Charger Supports Turbo Charge,1999,,0
redmi,Redmi Note 12 5G (6/128 GB),29999,,0
redmi,Redmi 10 - 2022 ( RAM: 4 GB,20499,,33
redmi,Redmi 10 - 2022 ( RAM: 6 GB,23999,,35
redmi,Redmi 13 (8/256),21999,,0
redmi,Redmi A3 (3/64 GB),11999,,0
redmi,Redmi 20000mAh Power Bank,4499,,0
redmi,Redmi Note 13 (6/128GB),23999,24999,115
redmi,Redmi A2+ (3/64 GB),11999,,103
fantech,FANTECH VIGIL MP256 Gaming Mouse Pad Anti-slip Base 250 x 210 x 2mm Mousepad,186,349,224
fantech,FANTECH Shooter II GP13 Gaming Controller,2349,3499,489
fantech,FANTECH VX7 Crypto Gaming Mouse-BLACK,1409,2099,601
fantech,Fantech Kanata VX9 / VX9S Gaming Mouse,752,1099,81
fantech,FANTECH KL201 Lightning To USB-A Data Cable,235,699,467
fantech,FANTECH Cable Data Type C USB 200CM Fast Charging 2.4A - KC201,235,799,261
fantech,Fantech Leviosa MCX01 Microphone USB For PC,4982,7499,448
fantech,Fantech HQ53 Lightweight Gaming Headset,1979,2799,884
fantech,Fantech Mouse Wireless Office FANTECH GO W603 Silent Click 2.4Ghz 1600DPI,376,769,133
fantech,Fantech S1Powerbank Fast Charging 10000 mAh Slim Mini Type C Micro Dual Output 10W,1128,1649,79
fantech,FANTECH KM201 USB-A To Micro USB Data Cable,188,599,227
fantech,Fantech AC902s Microphone Boom Arm,2162,3299,0
fantech,Fantech Tower Ii Ac304 Headstand Stand,1128,1699,0
fantech,Fantech GO W606 Wireless Office Mouse Plug and Play Connectivity With Ergonomic Grip,423,799,108
fantech,FANTECH USB Cable Micro Android 120CM Fast Charging 2.4A - KM103,188,399,408
fantech,Fantech GO W608 Wireless Office Mouse Plug and Play Connectivity With Symmetrical Grip,423,799,41
fantech,Mouse Gaming Macro Fantech VX7 Crypto RGB Gaming Mouse,1409,2099,87
fantech,FANTECH Ear In Gaming White color Earphone SCAR EG3,939,1399,332
fantech,FANTECH Cable Data USB Lightning 120CM 2.4A - KL104,329,799,164
fantech,Fantech X9 Thor 4800 Dpi Programmable Rgb Backlit Usb Wired Gaming Mouse Black,1409,2099,626
fantech,Fantech GO W607 Wireless Office Mouse Plug and Play Connectivity With Symmetrical Grip,412,799,65
fantech,FANTECH HG20 CHIEF II 3.5mm RGB Light Gaming Headset With Microphone-Black,2819,4199,376
fantech,Fantech Mp64Xl For Gaming Mouse Mat Pad Gamer Anti-Slip Cloth For Gaming,470,699,459
fantech,FANTECH USB Cable Lightning 120CM Fast Charging 2.4A - KL103,191,499,0
fantech,Fantech Cruiser WG11 Wireless 2.4 GHZ Pro Gaming Mouse-Black,1122,1699,275
fantech,FANTECH Cable Data Micro USB 120CM Fast Charging 2.4A - KM104,282,699,154
fantech,Fantech EG3 Gaming Earphones Headset with mic for Mobile and PC Wired Earbuds,940,1399,46
fantech,FANTECH GS202 SONAR Mini RGB Lighting Speaker,1504,2299,253
fantech,Fantech RAIGOR III WG12,1128,1799,30
fantech,Fantech WK896,2350,3399,0
fantech,Fantech Go W191 Wireless Gaming Mouse-White Wireless Mouse,657,999,218
fantech,FANTECH Smart Life USB Cable Type C 120CM - KC103,286,599,79
fantech,Fantech Phantom Ii Vx6 Macro Gaming Mouse-Neon Black,1480,2199,120
fantech,Fantech Raigor III WG12R Gaming Mouse With 2.4GHz Wireless Connection-(Black),1409,2099,120
fantech,Fantech Hg15 Captain 7.1 Stereo Gaming Headset,3289,4899,109
fantech,FANTECH AGILE MP453 Game Mouse Pad Water-Resistant,940,1699,59
fantech,Fantech Phantom II VX6 Neon Macro Gaming Mouse with Ergonomic Design & RGB Lighting Effects,1503,2149,33
fantech,Fantech Tower Ii Ac304 Pro,2256,3499,0
fantech,Fantech WH02 GO Air Bluetooth 5.0 Wireless Headphone Dual Connection,1879,2799,44
fantech,Fantech Gs205 Rgb Gaming Music Speaker,1597,2399,221
